method,variant,oriented_acc,mean_ang_err,time_sec
ours_torch,clean,0.9998150000000001,5.638155913352966,74.55203504562378
ours_torch,sigmap0025,0.9936999999999999,16.482644271850585,74.55394005775452
ours_torch,sigmap005,0.9582900000000001,25.433587265014648,74.55066967010498
ours_torch,sigmap01,0.81412,48.84734344482422,74.5509750366211
pca_mst,clean,0.992885,7.084588557420449,1.8706812858581543
pca_mst,sigmap0025,0.795355,40.08180818837712,1.5170571327209472
pca_mst,sigmap005,0.9851449999999999,18.59544375974275,1.6435132503509522
pca_mst,sigmap01,0.932005,37.78148424786025,1.6610551834106446
wnnc_cuda,clean,0.9998100000000001,5.756032991409302,0.46053624153137207
wnnc_cuda,sigmap0025,0.99323,16.53810634613037,0.47466025352478025
wnnc_cuda,sigmap005,0.961505,24.91149616241455,0.5305865287780762
wnnc_cuda,sigmap01,0.835235,46.4682014465332,0.6253930568695069
